row_index,Груз,Год,Вид сообщения,Направление,"Погрузка, млн. т","Погрузка базовая, млн. т","Грузооборот, млрд. ткм","Грузооборот базовый, млрд. ткм",Средняя дальность,Грузооборот 2019,Индекс грузооборота,Индекс перевезено
474,Черные металлы,2032,импорт,в целом,0.0,0.0,3.2,3.2,0.0,6.5,0.498146432,
475,Лесные грузы,2032,импорт,в целом,0.0,0.0,0.4,0.4,0.0,0.6,0.742753623,
476,Минерально-строительные материалы,2032,импорт,в целом,0.0,0.0,12.9,12.9,0.0,12.9,1.002481967,
477,Химические и минеральные удобрения,2032,импорт,в целом,0.0,0.0,0.7,0.7,0.0,0.9,0.736095965,
478,Зерно и продукты перемола,2032,импорт,в целом,0.0,0.0,0.9,0.9,0.0,0.6,1.403508772,
479,Прочие,2032,импорт,в целом,0.0,0.0,140.8,140.8,0.0,46.6,3.021718602,
480,Уголь каменный,2033,импорт,в целом,0.0,0.0,11.3,11.3,0.0,11.7,0.965376087,
481,Кокс каменноугольный,2033,импорт,в целом,0.0,0.0,0.2,0.2,0.0,0.1,1.764705882,
482,Нефть и нефтепродукты,2033,импорт,в целом,0.0,0.0,1.4,1.4,0.0,2.2,0.647482014,
483,Руды металлические,2033,импорт,в целом,0.0,0.0,12.6,12.6,0.0,28.1,0.447665743,
484,Черные металлы,2033,импорт,в целом,0.0,0.0,3.2,3.2,0.0,6.5,0.498146432,
485,Лесные грузы,2033,импорт,в целом,0.0,0.0,0.4,0.4,0.0,0.6,0.742753623,
486,Минерально-строительные материалы,2033,импорт,в целом,0.0,0.0,13.0,13.0,0.0,12.9,1.006747848,
487,Химические и минеральные удобрения,2033,импорт,в целом,0.0,0.0,0.7,0.7,0.0,0.9,0.736095965,
488,Зерно и продукты перемола,2033,импорт,в целом,0.0,0.0,0.9,0.9,0.0,0.6,1.403508772,
489,Прочие,2033,импорт,в целом,0.0,0.0,150.9,150.9,0.0,46.6,3.237509657,
490,Уголь каменный,2034,импорт,в целом,0.0,0.0,11.4,11.4,0.0,11.7,0.96878731,
491,Кокс каменноугольный,2034,импорт,в целом,0.0,0.0,0.2,0.2,0.0,0.1,1.764705882,
492,Нефть и нефтепродукты,2034,импорт,в целом,0.0,0.0,1.4,1.4,0.0,2.2,0.647482014,
493,Руды металлические,2034,импорт,в целом,0.0,0.0,11.6,11.6,0.0,28.1,0.410360264,
494,Черные металлы,2034,импорт,в целом,0.0,0.0,3.2,3.2,0.0,6.5,0.498146432,
495,Лесные грузы,2034,импорт,в целом,0.0,0.0,0.4,0.4,0.0,0.6,0.742753623,
496,Минерально-строительные материалы,2034,импорт,в целом,0.0,0.0,13.0,13.0,0.0,12.9,1.011013728,
497,Химические и минеральные удобрения,2034,импорт,в целом,0.0,0.0,0.7,0.7,0.0,0.9,0.736095965,
498,Зерно и продукты перемола,2034,импорт,в целом,0.0,0.0,0.9,0.9,0.0,0.6,1.403508772,
499,Прочие,2034,импорт,в целом,0.0,0.0,163.2,163.2,0.0,46.6,3.502768478,
500,Уголь каменный,2035,импорт,в целом,0.0,0.0,11.4,11.4,0.0,11.7,0.972198533,
501,Кокс каменноугольный,2035,импорт,в целом,0.0,0.0,0.2,0.2,0.0,0.1,1.764705882,
502,Нефть и нефтепродукты,2035,импорт,в целом,0.0,0.0,1.4,1.4,0.0,2.2,0.647482014,
503,Руды металлические,2035,импорт,в целом,0.0,0.0,10.5,10.5,0.0,28.1,0.373054786,
504,Черные металлы,2035,импорт,в целом,0.0,0.0,3.2,3.2,0.0,6.5,0.498146432,
505,Лесные грузы,2035,импорт,в целом,0.0,0.0,0.4,0.4,0.0,0.6,0.742753623,
506,Минерально-строительные материалы,2035,импорт,в целом,0.0,0.0,13.1,13.1,0.0,12.9,1.015279609,
507,Химические и минеральные удобрения,2035,импорт,в целом,0.0,0.0,0.7,0.7,0.0,0.9,0.736095965,
508,Зерно и продукты перемола,2035,импорт,в целом,0.0,0.0,0.9,0.9,0.0,0.6,1.403508772,
509,Прочие,2035,импорт,в целом,0.0,0.0,173.7,173.7,0.0,46.6,3.728646236,
520,Уголь каменный,2020,транзит,в целом,0.0,0.0,13.1,13.1,0.0,19.2,0.685708811,
521,Кокс каменноугольный,2020,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,1.7438605,
522,Нефть и нефтепродукты,2020,транзит,в целом,0.0,0.0,4.3,4.3,0.0,5.5,0.769718948,
523,Руды металлические,2020,транзит,в целом,0.0,0.0,0.7,0.7,0.0,0.6,1.244056057,
524,Черные металлы,2020,транзит,в целом,0.0,0.0,8.6,8.6,0.0,7.6,1.130724845,
525,Лесные грузы,2020,транзит,в целом,0.0,0.0,1.5,1.5,0.0,0.7,2.142857142857143,
526,Минерально-строительные материалы,2020,транзит,в целом,0.0,0.0,0.7,0.7,0.0,0.7,0.952528242,
527,Химические и минеральные удобрения,2020,транзит,в целом,0.0,0.0,0.9,0.9,0.0,0.8,1.204180232,
528,Зерно и продукты перемола,2020,транзит,в целом,0.0,0.0,0.9,0.9,0.0,2.3,0.402551043,
529,Прочие,2020,транзит,в целом,0.0,0.0,32.4,32.4,0.0,28.7,1.126069401,
530,Уголь каменный,2021,транзит,в целом,0.0,0.0,18.9,18.9,0.0,19.2,0.985193263,
531,Кокс каменноугольный,2021,транзит,в целом,0.0,0.0,0.1,0.1,0.0,0.0,5.178957182,
532,Нефть и нефтепродукты,2021,транзит,в целом,0.0,0.0,6.1,6.1,0.0,5.5,1.105342665,
533,Руды металлические,2021,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.6,1.321483103,
534,Черные металлы,2021,транзит,в целом,0.0,0.0,10.2,10.2,0.0,7.6,1.34747539,
535,Лесные грузы,2021,транзит,в целом,0.0,0.0,2.2,2.2,0.0,0.7,3.077570291,
536,Минерально-строительные материалы,2021,транзит,в целом,0.0,0.0,1.1,1.1,0.0,0.7,1.449906766,
537,Химические и минеральные удобрения,2021,транзит,в целом,0.0,0.0,1.1,1.1,0.0,0.8,1.524728768,
538,Зерно и продукты перемола,2021,транзит,в целом,0.0,0.0,1.2,1.2,0.0,2.3,0.522490229,
539,Прочие,2021,транзит,в целом,0.0,0.0,46.3,46.3,0.0,28.7,1.611263414,
540,Уголь каменный,2022,транзит,в целом,0.0,0.0,25.4,25.4,0.0,19.2,1.323654219,
541,Кокс каменноугольный,2022,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.156545455,
542,Нефть и нефтепродукты,2022,транзит,в целом,0.0,0.0,7.6,7.6,0.0,5.5,1.375544549,
543,Руды металлические,2022,транзит,в целом,0.0,0.0,0.5,0.5,0.0,0.6,0.945836522,
544,Черные металлы,2022,транзит,в целом,0.0,0.0,7.9,7.9,0.0,7.6,1.038676179,
545,Лесные грузы,2022,транзит,в целом,0.0,0.0,4.0,4.0,0.0,0.7,5.513043175,
546,Минерально-строительные материалы,2022,транзит,в целом,0.0,0.0,0.7,0.7,0.0,0.7,0.976906417,
547,Химические и минеральные удобрения,2022,транзит,в целом,0.0,0.0,8.1,8.1,0.0,0.8,10.80642743,
548,Зерно и продукты перемола,2022,транзит,в целом,0.0,0.0,1.7,1.7,0.0,2.3,0.732693878,
549,Прочие,2022,транзит,в целом,0.0,0.0,35.5,35.5,0.0,28.7,1.234654917,
550,Уголь каменный,2023,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.413372275,
551,Кокс каменноугольный,2023,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.073181818,
552,Нефть и нефтепродукты,2023,транзит,в целом,0.0,0.0,8.2,8.2,0.0,5.5,1.484695762,
553,Руды металлические,2023,транзит,в целом,0.0,0.0,0.6,0.6,0.0,0.6,1.12173913,
554,Черные металлы,2023,транзит,в целом,0.0,0.0,7.4,7.4,0.0,7.6,0.973047959,
555,Лесные грузы,2023,транзит,в целом,0.0,0.0,3.4,3.4,0.0,0.7,4.798050139,
556,Минерально-строительные материалы,2023,транзит,в целом,0.0,0.0,0.3,0.3,0.0,0.7,0.348328877,
557,Химические и минеральные удобрения,2023,транзит,в целом,0.0,0.0,6.0,6.0,0.0,0.8,8.002663116,
558,Зерно и продукты перемола,2023,транзит,в целом,0.0,0.0,2.8,2.8,0.0,2.3,1.233174121,
559,Прочие,2023,транзит,в целом,0.0,0.0,36.4,36.4,0.0,28.7,1.264997564,
560,Уголь каменный,2024,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
561,Кокс каменноугольный,2024,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
562,Нефть и нефтепродукты,2024,транзит,в целом,0.0,0.0,8.6,8.6,0.0,5.5,1.561934082,
563,Руды металлические,2024,транзит,в целом,0.0,0.0,1.1,1.1,0.0,0.6,1.839130435,
564,Черные металлы,2024,транзит,в целом,0.0,0.0,9.3,9.3,0.0,7.6,1.232395297,
565,Лесные грузы,2024,транзит,в целом,0.0,0.0,4.0,4.0,0.0,0.7,5.561281337,
566,Минерально-строительные материалы,2024,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
567,Химические и минеральные удобрения,2024,транзит,в целом,0.0,0.0,7.5,7.5,0.0,0.8,9.986684421,
568,Зерно и продукты перемола,2024,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
569,Прочие,2024,транзит,в целом,0.0,0.0,40.1,40.1,0.0,28.7,1.394669079,
570,Уголь каменный,2025,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
571,Кокс каменноугольный,2025,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
572,Нефть и нефтепродукты,2025,транзит,в целом,0.0,0.0,9.1,9.1,0.0,5.5,1.645237233,
573,Руды металлические,2025,транзит,в целом,0.0,0.0,1.3,1.3,0.0,0.6,2.206956522,
574,Черные металлы,2025,транзит,в целом,0.0,0.0,10.2,10.2,0.0,7.6,1.348659004,
575,Лесные грузы,2025,транзит,в целом,0.0,0.0,4.4,4.4,0.0,0.7,6.066852368,
576,Минерально-строительные материалы,2025,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
577,Химические и минеральные удобрения,2025,транзит,в целом,0.0,0.0,9.8,9.8,0.0,0.8,13.04926764,
578,Зерно и продукты перемола,2025,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
579,Прочие,2025,транзит,в целом,0.0,0.0,42.5,42.5,0.0,28.7,1.478234393,
580,Уголь каменный,2026,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
581,Кокс каменноугольный,2026,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
582,Нефть и нефтепродукты,2026,транзит,в целом,0.0,0.0,9.5,9.5,0.0,5.5,1.728540384,
583,Руды металлические,2026,транзит,в целом,0.0,0.0,1.5,1.5,0.0,0.6,2.574782609,
584,Черные металлы,2026,транзит,в целом,0.0,0.0,10.6,10.6,0.0,7.6,1.395164487,
585,Лесные грузы,2026,транзит,в целом,0.0,0.0,4.7,4.7,0.0,0.7,6.572423398,
586,Минерально-строительные материалы,2026,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
587,Химические и минеральные удобрения,2026,транзит,в целом,0.0,0.0,11.3,11.3,0.0,0.8,14.98002663,
588,Зерно и продукты перемола,2026,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
589,Прочие,2026,транзит,в целом,0.0,0.0,44.2,44.2,0.0,28.7,1.538729209,
590,Уголь каменный,2027,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
591,Кокс каменноугольный,2027,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
592,Нефть и нефтепродукты,2027,транзит,в целом,0.0,0.0,10.0,10.0,0.0,5.5,1.811843535,
593,Руды металлические,2027,транзит,в целом,0.0,0.0,1.8,1.8,0.0,0.6,3.126521739,
594,Черные металлы,2027,транзит,в целом,0.0,0.0,10.8,10.8,0.0,7.6,1.430043599,
595,Лесные грузы,2027,транзит,в целом,0.0,0.0,5.1,5.1,0.0,0.7,7.077994429,
596,Минерально-строительные материалы,2027,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
597,Химические и минеральные удобрения,2027,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
598,Зерно и продукты перемола,2027,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
599,Прочие,2027,транзит,в целом,0.0,0.0,45.6,45.6,0.0,28.7,1.587723572,
600,Уголь каменный,2028,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
601,Кокс каменноугольный,2028,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
602,Нефть и нефтепродукты,2028,транзит,в целом,0.0,0.0,10.5,10.5,0.0,5.5,1.895146686,
603,Руды металлические,2028,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
604,Черные металлы,2028,транзит,в целом,0.0,0.0,11.1,11.1,0.0,7.6,1.464922711,
605,Лесные грузы,2028,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
606,Минерально-строительные материалы,2028,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
607,Химические и минеральные удобрения,2028,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
608,Зерно и продукты перемола,2028,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
609,Прочие,2028,транзит,в целом,0.0,0.0,47.0,47.0,0.0,28.7,1.636857123,
610,Уголь каменный,2029,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
611,Кокс каменноугольный,2029,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
612,Нефть и нефтепродукты,2029,транзит,в целом,0.0,0.0,10.8,10.8,0.0,5.5,1.957624049,
613,Руды металлические,2029,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
614,Черные металлы,2029,транзит,в целом,0.0,0.0,11.4,11.4,0.0,7.6,1.499801823,
615,Лесные грузы,2029,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
616,Минерально-строительные материалы,2029,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
617,Химические и минеральные удобрения,2029,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
618,Зерно и продукты перемола,2029,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
619,Прочие,2029,транзит,в целом,0.0,0.0,48.5,48.5,0.0,28.7,1.686129863,
620,Уголь каменный,2030,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
621,Кокс каменноугольный,2030,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
622,Нефть и нефтепродукты,2030,транзит,в целом,0.0,0.0,11.2,11.2,0.0,5.5,2.020101413,
623,Руды металлические,2030,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
624,Черные металлы,2030,транзит,в целом,0.0,0.0,11.6,11.6,0.0,7.6,1.534680935,
625,Лесные грузы,2030,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
626,Минерально-строительные материалы,2030,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
627,Химические и минеральные удобрения,2030,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
628,Зерно и продукты перемола,2030,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
629,Прочие,2030,транзит,в целом,0.0,0.0,50.2,50.2,0.0,28.7,1.747268425,
630,Уголь каменный,2031,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
631,Кокс каменноугольный,2031,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
632,Нефть и нефтепродукты,2031,транзит,в целом,0.0,0.0,11.5,11.5,0.0,5.5,2.082578776,
633,Руды металлические,2031,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
634,Черные металлы,2031,транзит,в целом,0.0,0.0,11.9,11.9,0.0,7.6,1.569560048,
635,Лесные грузы,2031,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
636,Минерально-строительные материалы,2031,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
637,Химические и минеральные удобрения,2031,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
638,Зерно и продукты перемола,2031,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
639,Прочие,2031,транзит,в целом,0.0,0.0,52.0,52.0,0.0,28.7,1.808580973,
640,Уголь каменный,2032,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
641,Кокс каменноугольный,2032,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
642,Нефть и нефтепродукты,2032,транзит,в целом,0.0,0.0,11.8,11.8,0.0,5.5,2.145056139,
643,Руды металлические,2032,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
644,Черные металлы,2032,транзит,в целом,0.0,0.0,12.1,12.1,0.0,7.6,1.598625974,
645,Лесные грузы,2032,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
646,Минерально-строительные материалы,2032,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
647,Химические и минеральные удобрения,2032,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
648,Зерно и продукты перемола,2032,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
649,Прочие,2032,транзит,в целом,0.0,0.0,53.7,53.7,0.0,28.7,1.870067506,
650,Уголь каменный,2033,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
651,Кокс каменноугольный,2033,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
652,Нефть и нефтепродукты,2033,транзит,в целом,0.0,0.0,12.2,12.2,0.0,5.5,2.207533502,
653,Руды металлические,2033,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
654,Черные металлы,2033,транзит,в целом,0.0,0.0,12.3,12.3,0.0,7.6,1.627691901,
655,Лесные грузы,2033,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
656,Минерально-строительные материалы,2033,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
657,Химические и минеральные удобрения,2033,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
658,Зерно и продукты перемола,2033,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
659,Прочие,2033,транзит,в целом,0.0,0.0,55.5,55.5,0.0,28.7,1.931728026,
660,Уголь каменный,2034,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
661,Кокс каменноугольный,2034,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
662,Нефть и нефтепродукты,2034,транзит,в целом,0.0,0.0,12.5,12.5,0.0,5.5,2.270010866,
663,Руды металлические,2034,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
664,Черные металлы,2034,транзит,в целом,0.0,0.0,12.5,12.5,0.0,7.6,1.656757828,
665,Лесные грузы,2034,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
666,Минерально-строительные материалы,2034,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
667,Химические и минеральные удобрения,2034,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
668,Зерно и продукты перемола,2034,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
669,Прочие,2034,транзит,в целом,0.0,0.0,57.3,57.3,0.0,28.7,1.99356253,
670,Уголь каменный,2035,транзит,в целом,0.0,0.0,27.1,27.1,0.0,19.2,1.414415354,
671,Кокс каменноугольный,2035,транзит,в целом,0.0,0.0,0.0,0.0,0.0,0.0,0.076363636,
672,Нефть и нефтепродукты,2035,транзит,в целом,0.0,0.0,12.9,12.9,0.0,5.5,2.332488229,
673,Руды металлические,2035,транзит,в целом,0.0,0.0,2.1,2.1,0.0,0.6,3.67826087,
674,Черные металлы,2035,транзит,в целом,0.0,0.0,12.8,12.8,0.0,7.6,1.685823755,
675,Лесные грузы,2035,транзит,в целом,0.0,0.0,5.4,5.4,0.0,0.7,7.58356546,
676,Минерально-строительные материалы,2035,транзит,в целом,0.0,0.0,0.8,0.8,0.0,0.7,1.032085561,
677,Химические и минеральные удобрения,2035,транзит,в целом,0.0,0.0,12.6,12.6,0.0,0.8,16.77762983,
678,Зерно и продукты перемола,2035,транзит,в целом,0.0,0.0,3.1,3.1,0.0,2.3,1.324359531,
679,Прочие,2035,транзит,в целом,0.0,0.0,59.1,59.1,0.0,28.7,2.055571021,
681,Грузы на своих осях,2020,внутрироссийское,в целом,0.0,0.0,285.1,285.1,0.0,297.8,0.957284284,
682,Грузы на своих осях,2021,внутрироссийское,в целом,0.0,0.0,282.8,282.8,0.0,297.8,0.949518612,
683,Грузы на своих осях,2022,внутрироссийское,в целом,0.0,0.0,298.5,298.5,0.0,297.8,1.002451133,
684,Грузы на своих осях,2023,внутрироссийское,в целом,0.0,0.0,264.3,264.3,0.0,297.8,0.887538023,
685,Грузы на своих осях,2024,внутрироссийское,в целом,0.0,0.0,264.8,264.8,0.0,297.8,0.889309299,
686,Грузы на своих осях,2025,внутрироссийское,в целом,0.0,0.0,267.8,267.8,0.0,297.8,0.899239667,
687,Грузы на своих осях,2026,внутрироссийское,в целом,0.0,0.0,276.1,276.1,0.0,297.8,0.927172785,
688,Грузы на своих осях,2027,внутрироссийское,в целом,0.0,0.0,278.6,278.6,0.0,297.8,0.935581047,
689,Грузы на своих осях,2028,внутрироссийское,в целом,0.0,0.0,280.8,280.8,0.0,297.8,0.942725851,
690,Грузы на своих осях,2029,внутрироссийское,в целом,0.0,0.0,282.8,282.8,0.0,297.8,0.949745471,
691,Грузы на своих осях,2030,внутрироссийское,в целом,0.0,0.0,284.4,284.4,0.0,297.8,0.954891343,
692,Грузы на своих осях,2031,внутрироссийское,в целом,0.0,0.0,285.7,285.7,0.0,297.8,0.959390489,
693,Грузы на своих осях,2032,внутрироссийское,в целом,0.0,0.0,287.0,287.0,0.0,297.8,0.96369599,
694,Грузы на своих осях,2033,внутрироссийское,в целом,0.0,0.0,288.2,288.2,0.0,297.8,0.967819112,
695,Грузы на своих осях,2034,внутрироссийское,в целом,0.0,0.0,289.4,289.4,0.0,297.8,0.971755478,
696,Грузы на своих осях,2035,внутрироссийское,в целом,0.0,0.0,290.5,290.5,0.0,297.8,0.97549608,
698,Грузы на своих осях,2020,экспорт,в целом,0.0,0.0,8.3,8.3,0.0,11.3,0.736893615,
699,Грузы на своих осях,2021,экспорт,в целом,0.0,0.0,10.4,10.4,0.0,11.3,0.920667483,
700,Грузы на своих осях,2022,экспорт,в целом,0.0,0.0,12.4,12.4,0.0,11.3,1.097226392,
701,Грузы на своих осях,2023,экспорт,в целом,0.0,0.0,8.6,8.6,0.0,11.3,0.763674982,
702,Грузы на своих осях,2024,экспорт,в целом,0.0,0.0,8.5,8.5,0.0,11.3,0.751486486,
703,Грузы на своих осях,2025,экспорт,в целом,0.0,0.0,8.7,8.7,0.0,11.3,0.765468721,
704,Грузы на своих осях,2026,экспорт,в целом,0.0,0.0,10.6,10.6,0.0,11.3,0.939764149,
705,Грузы на своих осях,2027,экспорт,в целом,0.0,0.0,10.8,10.8,0.0,11.3,0.955292006,
706,Грузы на своих осях,2028,экспорт,в целом,0.0,0.0,11.0,11.0,0.0,11.3,0.974359834,
707,Грузы на своих осях,2029,экспорт,в целом,0.0,0.0,11.3,11.3,0.0,11.3,1.000685798,
708,Грузы на своих осях,2030,экспорт,в целом,0.0,0.0,11.7,11.7,0.0,11.3,1.030878935,
709,Грузы на своих осях,2031,экспорт,в целом,0.0,0.0,12.0,12.0,0.0,11.3,1.065117616,
710,Грузы на своих осях,2032,экспорт,в целом,0.0,0.0,12.5,12.5,0.0,11.3,1.103580386,
711,Грузы на своих осях,2033,экспорт,в целом,0.0,0.0,13.1,13.1,0.0,11.3,1.157719667,
712,Грузы на своих осях,2034,экспорт,в целом,0.0,0.0,13.9,13.9,0.0,11.3,1.225572427,
713,Грузы на своих осях,2035,экспорт,в целом,0.0,0.0,14.5,14.5,0.0,11.3,1.282507959,
715,Грузы на своих осях,2020,импорт,в целом,0.0,0.0,374.6,374.6,0.0,385.9,0.970705403,
716,Грузы на своих осях,2021,импорт,в целом,0.0,0.0,379.4,379.4,0.0,385.9,0.98307612,
717,Грузы на своих осях,2022,импорт,в целом,0.0,0.0,342.3,342.3,0.0,385.9,0.887088675,
718,Грузы на своих осях,2023,импорт,в целом,0.0,0.0,331.6,331.6,0.0,385.9,0.859368076,
719,Грузы на своих осях,2024,импорт,в целом,0.0,0.0,357.8,357.8,0.0,385.9,0.92700554,
720,Грузы на своих осях,2025,импорт,в целом,0.0,0.0,383.2,383.2,0.0,385.9,0.992889618,
721,Грузы на своих осях,2026,импорт,в целом,0.0,0.0,414.3,414.3,0.0,385.9,1.073648267,
722,Грузы на своих осях,2027,импорт,в целом,0.0,0.0,430.2,430.2,0.0,385.9,1.114731402,
723,Грузы на своих осях,2028,импорт,в целом,0.0,0.0,437.0,437.0,0.0,385.9,1.132284088,
724,Грузы на своих осях,2029,импорт,в целом,0.0,0.0,454.4,454.4,0.0,385.9,1.177347696,
725,Грузы на своих осях,2030,импорт,в целом,0.0,0.0,471.5,471.5,0.0,385.9,1.221643659,
726,Грузы на своих осях,2031,импорт,в целом,0.0,0.0,478.2,478.2,0.0,385.9,1.239064547,
727,Грузы на своих осях,2032,импорт,в целом,0.0,0.0,512.0,512.0,0.0,385.9,1.326730197,
728,Грузы на своих осях,2033,импорт,в целом,0.0,0.0,514.6,514.6,0.0,385.9,1.333435421,
729,Грузы на своих осях,2034,импорт,в целом,0.0,0.0,517.0,517.0,0.0,385.9,1.339570388,
730,Грузы на своих осях,2035,импорт,в целом,0.0,0.0,519.8,519.8,0.0,385.9,1.347010139,
732,Грузы на своих осях,2020,транзит,в целом,0.0,0.0,8.1,8.1,0.0,8.0,1.01594148,
733,Грузы на своих осях,2021,транзит,в целом,0.0,0.0,9.2,9.2,0.0,8.0,1.151097336,
734,Грузы на своих осях,2022,транзит,в целом,0.0,0.0,11.1,11.1,0.0,8.0,1.387120905,
735,Грузы на своих осях,2023,транзит,в целом,0.0,0.0,10.8,10.8,0.0,8.0,1.356511878,
736,Грузы на своих осях,2024,транзит,в целом,0.0,0.0,11.4,11.4,0.0,8.0,1.42118947,
737,Грузы на своих осях,2025,транзит,в целом,0.0,0.0,11.7,11.7,0.0,8.0,1.46838699,
738,Грузы на своих осях,2026,транзит,в целом,0.0,0.0,12.0,12.0,0.0,8.0,1.506148559,
739,Грузы на своих осях,2027,транзит,в целом,0.0,0.0,12.4,12.4,0.0,8.0,1.5461472,
740,Грузы на своих осях,2028,транзит,в целом,0.0,0.0,12.5,12.5,0.0,8.0,1.56756781,
741,Грузы на своих осях,2029,транзит,в целом,0.0,0.0,12.6,12.6,0.0,8.0,1.578146675,
742,Грузы на своих осях,2030,транзит,в целом,0.0,0.0,12.7,12.7,0.0,8.0,1.592734129,
743,Грузы на своих осях,2031,транзит,в целом,0.0,0.0,12.9,12.9,0.0,8.0,1.606935555,
744,Грузы на своих осях,2032,транзит,в целом,0.0,0.0,13.0,13.0,0.0,8.0,1.620203055,
